paper title (separate scrape),paper authors (separate scrape),title,paper identifier,paper link,impact statement,impact statement title,word count,sentence count,opt out,ambiguous opt out,manually corrected,human review,Image based PDF,paper title (subjects),primary subject area,secondary subject areas,clustering subject preference,authors,affiliations,academic,industry,mixed,country
Sufficient dimension reduction for classification using principal optimal transport direction,"Cheng Meng, Jun Yu, Jingyi Zhang, Ping Ma, Wenxuan Zhong",Sufficient dimension reduction for classification using principal optimal transport direction,29586cb449c90e249f1f09a0a4ee245a,https://proceedings.neurips.cc/paper/2020/file/29586cb449c90e249f1f09a0a4ee245a-Paper.pdf,"In this paper, we study the problem of sufficient dimension reduction for classification. We propose a novel method to estimate the SDR subspace using the principal directions of the empirical optimal transport plans. The proposed POTD method can consistently and exclusively estimate the SDR subspace for the data with a binary-response when the class labels contain no error, or the data enjoys the ""separation"" property. The proposed method could be naturally extended to the data with continuous response. In such cases, we can first form several classes according to the values of Y . In particular, let S 1 = { x i : Y i < c } and S 2 = { x i : Y i ≥ c } for some constant c . We then calculate the optimal transport plan between S 1 and S 2 , and repeat the process to obtain several plans. The displacement vectors based on these optimal transport plans are then pooled together to form the basis of the SDR subspace using the principal component analysis. A number of questions remain unanswered, such as (1) how does the error in the response affect the result; (2) how does use other distance metrics in optimal transport instead of the L 2 norm affect the result; (3) would the multimarginal optimal transport approach [46] be a more appealing way to generalize the proposed method from binary-response to multi-class response than the one-vs-one strategy; (4) when the optimal couplings are obtained from the Sinkhorn algorithm, how does the Sinkhorn regularization parameter impacts the final dimension reduction. Additional research is needed to answer these questions and to better understand the proposed method. Like many existing dimension reduction studies, POTD, by its nature, is a new methodology that aims to solve challenging high-dimensional problems. Hence, this work does not present any foreseeable societal consequence by itself. However, POTD has the potential to be applied to many high-dimensional data, e.g., imaging data, gene expression data, and so on. This work may speed up these researches and hence amplify the positive and negative impacts that exist in these scientific research fields.",Broader Impact,353,14,TRUE,TRUE,FALSE,FALSE,FALSE,Sufficient dimension reduction for classification using principal optimal transport direction,Algorithms -> Classification,"Algorithms -> Components Analysis (e.g., CCA, ICA, LDA, PCA)","Core machine learning methods (e.g., supervised learning, ranking, clustering, metric learning, etc.)",,"{'University of Georgia', 'The University of Georgia', 'Beijing Institute of Technology'}",1,0,0,"{'USA', 'China'}"
Fast Epigraphical Projection-based Incremental Algorithms for Wasserstein Distributionally Robust Support Vector Machine,"Jiajin Li, Caihua Chen, Anthony Man-Cho So",Fast Epigraphical Projection-based Incremental Algorithms for Wasserstein Distributionally Robust Support Vector Machine,2974788b53f73e7950e8aa49f3a306db,https://proceedings.neurips.cc/paper/2020/file/2974788b53f73e7950e8aa49f3a306db-Paper.pdf,This work does not present any foreseeable societal consequence. A broader impact discussion is not applicable.,Broader Impact,16,2,TRUE,FALSE,TRUE,TRUE,FALSE,Fast Epigraphical Projection-based Incremental Algorithms for Wasserstein Distributionally Robust Support Vector Machine,Optimization,Algorithms -> Classification; Optimization -> Convex Optimization,Optimization Methods (continuous or discrete),"['Jiajin Li', ' Caihua Chen', 'Cho So']","{'The Chinese University of Hong Kong', 'Nanjing University', 'CUHK'}",1,0,0,{'China'}
Differentially Private Clustering: Tight Approximation Ratios,"Badih Ghazi, Ravi Kumar, Pasin Manurangsi",Differentially Private Clustering: Tight Approximation Ratios,299dc35e747eb77177d9cea10a802da2,https://proceedings.neurips.cc/paper/2020/file/299dc35e747eb77177d9cea10a802da2-Paper.pdf,"Our work lies in the active area of privacy and its broader impact should be interpreted in light of ongoing debates in academia and industry. The primary goal of our work is to develop efficient differentially private algorithms for clustering data, with quality approaching that of clustering al- gorithms that are indifferent to privacy. Being able to cluster data without compromising privacy but with quality almost as good as without privacy considerations, we believe, has a few societal benefits. Firstly, it could compel applications that deal with sensitive data and that already use off-the-shelf clustering algorithms to switch to using private clustering since the quality losses of our algorithm are guaranteed to be minimal and our algorithms are only modestly more expensive to run. Secondly, since clustering is a fundamen- tal primitive in machine learning and data analysis, our work can enable privacy in more intricate applications that depend on clustering. Thirdly, we believe our work can spur further research into making other private machine learning algorithms attain quality comparable to non-private ones. In other words, it can lead to the following state: preserving privacy does not entail a compromise in quality. This will have far-reaching effects on how researchers develop new methods. On the other hand, there are possible negative consequences of our work. Since our work has not been tested in practice, it is conceivable that practitioners might be dissuaded from using it on their own. Further, there might be unintended or malicious applications of private clustering, where privacy might be used in a negative way; our work might become a latent enablers of such activity. Overall we believe that protecting privacy is a net positive for the society and our work contribute towards this larger goal in a positive way.",Broader Impact,293,12,,,FALSE,FALSE,FALSE,Differentially Private Clustering: Tight Approximation Ratios,"Social Aspects of Machine Learning -> Privacy, Anonymity, and Security",Algorithms -> Clustering,,"['Badih Ghazi', ' Ravi Kumar', ' Pasin Manurangsi']",{'Google'},0,1,0,{'USA'}
On the Power of Louvain in the Stochastic Block Model,"Vincent Cohen-Addad, Adrian Kosowski, Frederik Mallmann-Trenn, David Saulpic",On the Power of Louvain in the Stochastic Block Model,29a6aa8af3c942a277478a90aa4cae21,https://proceedings.neurips.cc/paper/2020/file/29a6aa8af3c942a277478a90aa4cae21-Paper.pdf,"We give the first theoretical explanation of Louvain’s success. We show that Louvain not only recovers the hidden partition in the stochastic block model successfully, but also does so in linear time and so for a large range of parameters. Interestingly, if Louvain is properly seeded it can recover the parameters nearly up to the information theoretic threshold. As explained in the introduction, the goal of this paper is to cast a new light on the success of a popular heuristic for clustering, namely L OUVAIN . With more than 10 000 citations, L OUVAIN is the method of choice for graph clustering. Thus, explaining its power and limitation is of primary importance for a large variety of research areas (see for instance Hoffman et al. [ 22], analyzing the Bible with L OUVAIN , or Wu et al. [33] for drug repositioning). Our work shows that for graphs exhibiting a clear but noisy clustering structure, then Louvain quickly converges to a global optimum (w.r.t. the modularity objective). Therefore, when the clusters maximizing modularity align with the ground-truth clusters, Louvain is indeed a powerful clustering algorithms with a reliable performance. Finally, our work also improves the theoretical analysis and provides tools for a wide-range of other algorithms including Kernighan-Lin, Majorty and other combinatorial algorithms that rely on moving nodes to communities to which they have the most number of edges. Concretely, we show that the probability √ for a node to have more edges towards its own community is 1 / 2 + Ω(min(∆( p − q ) / np, 1)) in the SBM( 2 n, p, q ), where ∆ is the imbalance. Note that this bound is asymptotically tight. In addition, we also develop strong combinatorial methods that despite dependent variables ( read − 2) allow us to analyze a vast amount of cuts. These insights are important for many combinatorial algorithms.",6 Broader Impact,314,16,,,FALSE,FALSE,FALSE,On the Power of Louvain in the Stochastic Block Model,Algorithms -> Clustering,Algorithms -> Stochastic Methods,Theory (including computational and statistical analyses),"['Addad', ' Adrian Kosowski', 'Trenn', ' David Saulpic']","{'Ecole normale supérieure', 'NavAlgo', 'CNRS & Sorbonne Université', ""King's College London""}",1,1,1,{'France'}
Fairness with Overlapping Groups; a Probabilistic Perspective,"Forest Yang, Mouhamadou Cisse, Oluwasanmi O. Koyejo",Fairness with Overlapping Groups,29c0605a3bab4229e46723f89cf59d83,https://proceedings.neurips.cc/paper/2020/file/29c0605a3bab4229e46723f89cf59d83-Paper.pdf,"This work has the following potential positive impact in the society: we hope that our work enables algorithmic fairness for intersectional groups, which most existing works ignore. At the same time, this work may have some negative consequences because it does not solve the problem of limited statistical power for severely under-represented minorities. This work also assumes that algorithmic fairness is appropriate, which may not always be the case. Furthermore, we should be cautious of the result of failure of the system when the assumed parametric definition for the fairness violation is unknown or not appropriate, yet generic metrics are used in its place.",Broader Impact,104,4,,,FALSE,FALSE,FALSE,Fairness with Overlapping Groups; a Probabilistic Perspective,"Social Aspects of Machine Learning -> Fairness, Accountability, and Transparency",Algorithms -> Classification; Algorithms -> Online Learning; Optimization; Probabilistic Methods; Theory -> Statistical Learning Theory,,"['Forest Yang', ' Mouhamadou M Cisse', ' Oluwasanmi Koyejo']","{'UC Berkeley', 'UIUC', 'KAUST'}",1,0,0,"{'USA', 'Saudi Arabia'}"
AttendLight: Universal Attention-Based Reinforcement Learning Model for Traffic Signal Control,"Afshin Oroojlooy, Mohammadreza Nazari, Davood Hajinezhad, Jorge Silva",AttendLight: Universal Attention-Based Reinforcement Learning Model for Traffic Signal Control,29e48b79ae6fc68e9b6480b677453586,https://proceedings.neurips.cc/paper/2020/file/29e48b79ae6fc68e9b6480b677453586-Paper.pdf,"In this paper, the authors propose AttendLight, a Deep Reinforcement Learning algorithm to control the traffic signals efficiently and autonomously. Utilizing AttendLight for controlling traffic signals brings several benefits to society. First, this algorithm is responsive to the dynamic behavior of traffic movement and provides a control policy to an intersection to minimize the travel time. This has several societal implications: • Less traffic: according to information gathered in [9] in 2015, drivers in the United States wasted 6.9 billion hours annually in traffic. With AttendLight people will spend less time in traffic jams. • Lower fuel consumption: it has been shown that about 3 billion gallons of gas wasted in 2014 due to traffic congestion [9]. AttendLight will help to reduce fuel consumption by easing traffic flows. • Cleaner environment: it is predicted that air pollution will cause around 2.5 million cases of non-communicable disease by 2035, should the air quality stay the same as in 2018 [21]. People will breathe higher quality air if we have smarter traffic signal controllers. Second, in contrast to previous RL models, AttendLight does not need to be trained for every new intersection. Thanks to the attention mechanism, indeed AttendLight is a universal model that can be simply deployed for any type of intersection after it is trained over a collection of distinct intersections. As long as the structure for the new intersection follows a similar distribution as the training set, AttendLight provides accurate results. This capability is the key advantage of this model because, designing a new model imposes several costs such as (i) human expertise, (ii) the required computational power, and (iii) data collection resources. Therefore, sparing experts from repetitive work as well as saving computational resources are other societal impacts of AttendLight. One limitation of AttendLight is that it may fail to come up with an efficient policy whenever the intersection topology is very complex and unusual, such that the training set does not involve a similar structure. We hope that such a limitation can be addressed by increasing the training set diversity and incorporating more complex policy models. Future researchers are encouraged to consider extending AttendLight to control multiple intersections in a coordinated manner. Given a network of intersections, traffic signals have significant impacts on each other. Thus, controlling every individual signal without considering this incorporation may exacerbate the whole traffic. Reaching the point that AttendLight could control a network of intersections while it respects the association effects, we expect to achieve too many other valuable societal impacts. However, the extension of AttendLight to the multi-intersection scenario is not quite straightforward. Specifically, one needs to consider several challenges such as scalability of the proposed model, and how to involve the coordination in decision-making procedure. See more details in [20]. Further motivation to pursue this research would be improving the RL algorithm used to train the AttendLight model. In the current research, we utilized a policy-gradient RL algorithm called REINFORCE. Despite the superior numerical results of AttendLight, there is definitely room for improvement. As a low-hanging fruit, other state-of-the-art policy-based RL algorithms such as Actor-Critic, A2C, and A3C can substitute REINFORCE in AttendLight.",Broader Impact,523,27,,,TRUE,TRUE,FALSE,AttendLight: Universal Attention-Based Reinforcement Learning Model for Traffic Signal Control,Reinforcement Learning and Planning -> Reinforcement Learning,Reinforcement Learning and Planning -> Decision and Control,Reinforcement learning and planning,"['Afshin Oroojlooy', ' Mohammadreza Nazari', ' Davood Hajinezhad', ' Jorge Silva']","{'Lehigh University - SAS', 'SAS Institute', 'SAS'}",1,1,1,{'USA'}
Searching for Low-Bit Weights in Quantized Neural Networks,"Zhaohui Yang, Yunhe Wang, Kai Han, Chunjing XU, Chao Xu, Dacheng Tao, Chang Xu",Searching for Low-Bit Weights in Quantized Neural Networks,2a084e55c87b1ebcdaad1f62fdbbac8e,https://proceedings.neurips.cc/paper/2020/file/2a084e55c87b1ebcdaad1f62fdbbac8e-Paper.pdf,"Compared with full-precision networks, the quantized neural networks have the advantages of small model size, fast inference speed, low energy cost and efficient runtime memory occupation. The methods for training high-precision quantized neural networks help the deployment of computer vision models on mobile devices. Our proposed searching scheme provides a novel and feasible method for training high-precision quantized networks.",Broader Impact,59,3,FALSE,FALSE,FALSE,FALSE,FALSE,Searching for Low-Bit Weights in Quantized Neural Networks,Deep Learning,Algorithms -> Classification; Applications -> Computer Vision; Applications -> Object Recognition; Deep Learning -> CNN Architectures; Deep Learning -> Efficient Inference Methods,AutoML,"['zhaohui yang', ' Yunhe Wang', ' Kai Han', ' Chunjing XU', ' Chao Xu', ' Dacheng Tao', ' Chang Xu']","{'University of Sydney', 'peking university', 'Huawei Technologies', 'Peking University'}",1,1,1,"{'Australia', 'China'}"
Adaptive Reduced Rank Regression,"Qiong Wu, Felix MF Wong, Yanhua Li, Zhenming Liu, Varun Kanade",Adaptive Reduced Rank Regression,2a27b8144ac02f67687f76782a3b5d8f,https://proceedings.neurips.cc/paper/2020/file/2a27b8144ac02f67687f76782a3b5d8f-Paper.pdf,The main contribution of this work is theoretical. Productionizing downstream applications stated in the paper may need to take six months or more so there is no immediate societal impact from this project.,Broader Impact,33,2,TRUE,TRUE,FALSE,FALSE,FALSE,Adaptive Reduced Rank Regression,Theory -> Computational Learning Theory,,"Core machine learning methods (e.g., supervised learning, ranking, clustering, metric learning, etc.)","['Qiong Wu', ' Felix MF Wong', ' Yanhua Li', ' Zhenming Liu', ' Varun Kanade']","{'Google', 'William and Mary', 'University of Oxford', 'College of William and Mary'}",1,1,1,"{'UK', 'USA'}"
From Predictions to Decisions: Using Lookahead Regularization,"Nir Rosenfeld, Anna Hilgard, Sai Srivatsa Ravindranath, David C. Parkes",From Predictions to Decisions: Using L kahead Regularization,2adcfc3929e7c03fac3100d3ad51da26,https://proceedings.neurips.cc/paper/2020/file/2adcfc3929e7c03fac3100d3ad51da26-Paper.pdf,"In our work, the learning objective was designed to align with and support the possible use of a predictive model to drive decisions by users. It is our belief that a responsible and transparent deployment of models with “lookahead-like"" regularization components should avoid the kinds of mistakes that can be made when predictive methods are conflated with causally valid methods. At the same time, we have made a strong simplifying assumption, that of covariate shift, which requires that the relationship between covariates and outcome variables is invariant as decisions are made and the feature distribution changes. This strong assumption is made to ensure validity for the lookahead regularization, since we need to be able to perform inference about counterfactual observations. As discussed by Mueller et al. [ 31] and Peters et al. [34], there exist real-world tasks that reasonably satisfy this assumption, and yet at the same time, other tasks— notably those with unobserved confounders —where this assumption would be violated. Moreover, this assumption is not testable on the observational data. This, along with the need to make an assumption about the user decision model, means that an application of the method proposed here should be done with care and will require some domain knowledge to understand whether or not the assumptions are plausible. Furthermore, the validity of the interval estimates requires that any assumptions for the interval model used are satisfied and that weights w provide a reasonable estimation of p /p . In particular, fitting to p which has little to no overlap with p (see Figure 2) may result in underestimating the possibility of bad outcomes. If used carefully and successfully, then the system provides safety and protects against the misuse of a model. If used in a domain for which the assumptions fail to hold then the framework could make things worse, by trading accuracy for an incorrect view of user decisions and the effect of these decisions on outcomes. We would also caution against any specific interpretation of the application of the model to the wine and diabetes data sets. We note that model misspecification of f ∗ could result in arbitrarily bad outcomes, and estimating f ∗ in any high-stakes setting requires substantial domain knowledge and should err on the side of caution. We use the data sets for purely illustrative purposes because we believe the results are representative of the kinds of results that are available when the method is correctly applied to a domain of interest.",Broader Impact,414,16,,,FALSE,FALSE,FALSE,From Predictions to Decisions: Using Lookahead Regularization,Social Aspects of Machine Learning,,"Social aspects of machine learning (e.g., fairness, safety, privacy)","['Nir Rosenfeld', ' Anna Hilgard', ' Sai Srivatsa Ravindranath', ' David Parkes']",{'Harvard University'},1,0,0,{'USA'}
Sequential Bayesian Experimental Design with Variable Cost Structure,"Sue Zheng, David Hayden, Jason Pacheco, John W. Fisher III",Sequential Bayesian Experimental Design with Variable Cost Structure,2adee8815dd939548ee6b2772524b6f2,https://proceedings.neurips.cc/paper/2020/file/2adee8815dd939548ee6b2772524b6f2-Paper.pdf,"Despite its promise and longstanding research focus, BOED has seen limited practical utility due to the difficulties associated with evaluating information measures. Nevertheless, practical algorithms for effective information retrieval, which reason about uncertainty in a Bayesian context, have widespread value. This work posits that by accounting for identifiable cost structure, and the judicious allocation of resources, one can integrate Bayesian reasoning to experimental design in a practical way. Our approach utilizes readily available bounds and places minimal assumptions on model complexity. Having emphasized the positive aspects of this work, we acknowledge limitations of the approach. In particular, we assume that a cost structure is known or otherwise easily estimated. In practice we find that empirical estimates of costs are easily obtained, but acknowledge that this may not be true for all cases. Despite any limitations, our approach is broadly applicable and we therefore expect this work to have significant impact on the practical application of BOED in a wide range of settings.",Broader Impacts,162,8,,,FALSE,FALSE,FALSE,Sequential Bayesian Experimental Design with Variable Cost Structure,Probabilistic Methods -> MCMC,Probabilistic Methods,Probabilistic methods and inference,"['Sue Zheng', ' David Hayden', ' Jason Pacheco', ' John W Fisher III']","{'Massachusetts Institute of Technology', 'MIT'}",1,0,0,{'USA'}
Predictive inference is free with the jackknife+-after-bootstrap,"Byol Kim, Chen Xu, Rina Foygel Barber",Predictive Inference Is Free with the Jackknife+-after-Bootstrap,2b346a0aa375a07f5a90a344a61416c4,https://proceedings.neurips.cc/paper/2020/file/2b346a0aa375a07f5a90a344a61416c4-Paper.pdf,"Machine learning algorithms are becoming increasingly pervasive in many application areas involving complicated and high-stakes decision making including medical treatment planning and diagnosis, public health, and public policy. As the use of machine learning becomes more widespread, however, we are also becoming more cognizant of the potential pitfalls due to hidden biases in the data or unexpected behavior of blackbox algorithms. Quantifying the uncertainty in machine predictions is one way to safeguard against such errors. Doing so in a meaningful way without making unverifiable or overly simplistic assumptions is a challenge, as data in these applications often exhibit complex phenomena, such as censoring or missingness, heavy tails, multi-modality, etc.. Methods such as our J+aB provide predictive inference guarantees that can be efficiently implemented on large scale data sets under very few assumptions.",7 Broader impact,132,4,,,FALSE,FALSE,FALSE,Predictive inference is free with the jackknife+-after-bootstrap,Algorithms -> Uncertainty Estimation,Algorithms -> Boosting and Ensemble Methods; Theory -> Frequentist Statistics,Probabilistic methods and inference,"['Byol Kim', ' Chen Xu', ' Rina Foygel Barber']",{'University of Chicago'},1,0,0,{'USA'}
Counterfactual Predictions under Runtime Confounding,"Amanda Coston, Edward Kennedy, Alexandra Chouldechova",Counterfactual Predictions under Runtime Confounding,2b64c2f19d868305aa8bbc2d72902cc5,https://proceedings.neurips.cc/paper/2020/file/2b64c2f19d868305aa8bbc2d72902cc5-Paper.pdf,"Real-world adoption of our proposed methodology may have a number of ethical and societal consequences. Our method is well-suited to decision support settings, including high-stakes decisions such as public assistance, parole and bail decisions in criminal justice, and treatment prioritization in healthcare. Our proposed method has the potential to improve decision-making in settings with runtime confounding where, as demonstrated in this paper, standard methods produce biased results. Beyond the statistical bias of simply failing to target the right counterfactual quantity, if decisions are made based on such predictions, it may disadvantage certain demographic groups in cases such as where group membership is a confounding factor in observed decisions [10]. This is a significant concern because group membership is often an impermissible input to decision-support tools at runtime, while also being a factor that influences discriminatory decision-making in observed data. Using our methods in these settings can improve predictions and the decisions they ultimately inform. However, our proposed approach is valid only in the setting where our assumed Conditions 2.1 hold, and is not offered as a panacea for generally confounded data. The assumption that training data is unconfounded (§ 2.1.1) deserves considerable scrutiny any time the methods are applied. This assumption cannot be verified empirically and must instead be evaluated by domain experts who have detailed knowledge of the historical decision-making process. We encourage practitioners to carefully consider the validity of this assumption for their setting. Further data collection may be required to ensure that the data available for training does contain all factors that may have been relevant to historical decision-making, even if it is not information that is desirable or permissible to be used at runtime. To illustrate the potential benefits as well as possible misuses of our method, we consider how our method could inform parole decisions. Parole boards determine whether and under what conditions to release a person from incarceration. Recidivism risk assessment models are widely adopted by probation and parole departments around the US. It is often of interest to assess the likelihood of success under different possible supervision conditions. Runtime confounding occurs in the setting when, for instance, the parole board makes a recommendation after reviewing documents and hearing spoken testimony, but the board would like to see the predictions of a risk and needs assessment tool prior to the hearing. The testimony may provide information that both influences the board’s decision and reveals drivers of the offender’s likelihood to succeed if released, but this information is unavailable at prediction time, leading to runtime confounding. Moreover, we may be concerned that parole boards implicitly used race to make decisions and would like to account for this without requiring the use of race as a model input. Our method would allow us to do so. Our method can handle some of the challenging aspects of this setting, but there may be other problems that are not addressed by our method. For instance, while our method can help account for racial bias in historical parole decisions, it cannot correct for racial bias in the downstream outcomes. Since research suggests that people of color are disproportionately arrested relative to true crime rates [1], one should be wary of using these outcomes. Predictive models trained on such outcomes could perpetuate or exacerbate racial disparities in criminal justice. Additionally, if Conditions 2.1 do not hold because e.g. the spoken testimony is not accurately recorded, then our method may lead to unreliable predictions. The appropriate use of our method in high-stakes real-world settings would include careful consider- ation of the validity of Conditions 2.1 as well as other potential biases in the data used for model training. If deployed in the appropriate setting, our method has the potential to help decision-makers make better decisions that can improve efficiency and fairness.",Broader Impact,630,26,,,FALSE,FALSE,FALSE,Counterfactual Predictions under Runtime Confounding,Probabilistic Methods -> Causal Inference,Algorithms -> Classification; Algorithms -> Regression,,"['Amanda Coston', ' Edward Kennedy', ' Alexandra Chouldechova']","{'CMU', 'Carnegie Mellon University'}",1,0,0,{'USA'}
Learning Loss for Test-Time Augmentation,"Ildoo Kim, Younghoon Kim, Sungwoong  Kim",Learning Loss for Test-Time Augmentation,2ba596643cbbbc20318224181fa46b28,https://proceedings.neurips.cc/paper/2020/file/2ba596643cbbbc20318224181fa46b28-Paper.pdf,"Regardless of the state of the given data, using it as an input of the neural network with the same pre-processing can be ineffective in terms of performance and stability. We propose a novel instance- aware test-time augmentation. If a deep learning model is in the deployment stage, it can be expected to increase stability and performance through the proposed method. However, it is still necessary to verify the stability and generalization of the proposed method because it is in an early stage of research for instance-aware test-time augmentation. At this time, the performance of deep learning models may be degraded in unexpected situations, although we haven’t described specific conditions.",Broader Impact,110,5,,,FALSE,FALSE,FALSE,Learning Loss for Test-Time Augmentation,Algorithms -> Boosting and Ensemble Methods,Algorithms -> Classification; Algorithms -> Uncertainty Estimation; Applications -> Computer Vision; Deep Learning; Deep Learning -> Efficient Inference Methods,Deep learning,"['Ildoo Kim', ' Younghoon Kim', ' Sungwoong Kim']",{'Kakao Brain'},0,1,0,{'South Korea'}
Balanced Meta-Softmax for Long-Tailed Visual Recognition,"Ren Jiawei, Cunjun Yu, shunan sheng, Xiao Ma, Haiyu Zhao, Shuai Yi, hongsheng Li",Balanced Meta-Softmax for Long-Tailed Visual Recognition,2ba61cc3a8f44143e1f2f13b2b729ab3,https://proceedings.neurips.cc/paper/2020/file/2ba61cc3a8f44143e1f2f13b2b729ab3-Paper.pdf,"Due to the Zipfian distribution of categories in real life, algorithms, and models with exceptional performance on research benchmarks may not remain powerful in the real world. BALMS, as a light-weight method, only adds minimal computational cost during training and is compatible with most of the existing works for visual recognition. As a result, BALMS could be beneficial to bridge the gap between research benchmarks and industrial applications for visual recognition. However, there can be some potential negative effects. As BALMS empowers deep classifiers with stronger recognition capability on long-tailed distribution, the application of such a classification algorithm can be further extended to more real-life scenarios. We should be cautious about the misuse of the method proposed. Depending on the scenario, it might cause negative effects on democratic privacy.",Broader Impact,129,7,,,FALSE,FALSE,FALSE,Balanced Meta-Softmax for Long-Tailed Visual Recognition,Deep Learning -> Efficient Training Methods,Algorithms -> Meta-Learning; Applications -> Computer Vision,Vision,"['Ren Jiawei', ' Cunjun Yu', ' shunan sheng', ' Xiao Ma', ' Haiyu Zhao', ' Shuai Yi', ' hongsheng Li']","{'SenseTime Group Limited', 'Sensetime', 'cuhk', 'National University of Singapore', 'NUS', 'SenseTime International Pte Ltd'}",1,1,1,"{'Hong Kong', 'Singapore', 'China'}"
Efficient Exploration of Reward Functions in Inverse Reinforcement Learning via Bayesian Optimization,"Sreejith Balakrishnan, Quoc Phong Nguyen, Bryan Kian Hsiang Low, Harold Soh",Efficient Exploration of Reward Functions in Inverse Reinforcement Learning via Bayesian Optimization,2bba9f4124283edd644799e0cecd45ca,https://proceedings.neurips.cc/paper/2020/file/2bba9f4124283edd644799e0cecd45ca-Paper.pdf,"It is important that our autonomous agents operate with the correct objectives to ensure that they exihibit appropriate and trustworthy behavior (ethically, legally, etc.) [19]. This issue is gaining broader significance as autonomous agents are increasingly deployed in real-world settings, e.g., in the form of autonomous vehicles, intelligent assistants for medical diagnosis, and automated traders. However, specifying objectives is difficult, and as this paper motivates, reward function learning via demonstration likelihood optimization may also lead to inappropriate behavior. For example, our experiments with the Fetch-Reach environment shows that apparently “good” solutions in terms of NLL correspond to poor policies. BO-IRL takes one step towards addressing this issue by providing an efficient algorithm for returning more information about potential reward functions in the form of discovered samples and the GP posterior. This approach can help users further iterate to arrive at appropriate reward function, e.g., to avoid policies that cause expected or undesirable behavior. As with other learning methods, there is a risk for misuse. This work does not consider constraints that limit the reward functions that can be learned. As such, users may teach the robots to perform unethical or illegal actions; consider the recent incident where users taught the Microsoft’s chatbot Tay to spout racist and anti-social tweets. With robots that are capable of physical actions, consequences may be more severe, e.g., bad actors may teach the robot to cause both psychological and physical harm. A more subtle problem is that harmful policies may result unintentionally from misuse of BO-IRL, e.g., when the assumptions of the method do not hold. These issues point to potential future work on verification or techniques to enforce constraints in BO-IRL and other IRL algorithms.",Broader Impact,281,13,,,FALSE,FALSE,FALSE,Efficient Exploration of Reward Functions in Inverse Reinforcement Learning via Bayesian Optimization,Reinforcement Learning and Planning -> Reinforcement Learning,Algorithms -> Active Learning,Reinforcement learning and planning,"['Sreejith Balakrishnan', ' Quoc Phong Nguyen', ' Bryan Kian Hsiang Low', ' Harold Soh']","{'National University Singapore', 'National University of Singapore'}",1,0,0,{'Singapore'}
MDP Homomorphic Networks: Group Symmetries in Reinforcement Learning,"Elise van der Pol, Daniel Worrall, Herke van Hoof, Frans Oliehoek, Max Welling",MDP Homomorphic Networks: Group Symmetries in Reinforcement Learning,2be5f9c2e3620eb73c2972d7552b6cb5,https://proceedings.neurips.cc/paper/2020/file/2be5f9c2e3620eb73c2972d7552b6cb5-Paper.pdf,"The goal of this paper is to make (deep) reinforcement learning techniques more efficient at solving Markov decision processes (MDPs) by making use of prior knowledge about symmetries. We do not expect the particular algorithm we develop to lead to immediate societal risks. However, Markov decision processes are very general, and can e.g. be used to model problems in autonomous driving, smart grids, and scheduling. Thus, solving such problems more efficiently can in the long run cause positive or negative societal impact. For example, making transportation or power grids more efficient, thereby making better use of scarce resources, would be a significantly positive impact. Other potential applications, such as in autonomous weapons, pose a societal risk [28]. Like many AI technologies, when used in automation, our technology can have a positive impact (increased productivity) and a negative impact (decreased demand) on labor markets. More immediately, control strategies learned using RL techniques are hard to verify and validate. Without proper precaution (e.g. [40]), employing such control strategies on physical systems thus run the risk of causing accidents involving people, e.g. due to reward misspecification, unsafe exploration, or distributional shift [2].",8 Broader Impact,189,9,,,FALSE,FALSE,FALSE,MDP Homomorphic Networks: Group Symmetries in Reinforcement Learning,Reinforcement Learning and Planning -> Reinforcement Learning,Algorithms -> Representation Learning; Deep Learning -> CNN Architectures,Reinforcement learning and planning,"['Elise van der Pol', ' Daniel Worrall', ' Herke van Hoof', ' Frans Oliehoek', ' Max Welling']","{'University of Amsterdam', 'University of Amsterdam / Qualcomm AI Research', 'TU Delft'}",1,1,1,"{'USA', 'Netherlands'}"
